10000
-493997 /450988 +418775 *457713
/940765 +631109 -939506 *156011
*200686 +931834 /410100 -426991
/361711 -931094 +539304 *113544
*956098 /927388 +586725 -239255
-621129 /101408 +828105 *609009
*252780 /602207 +597411 -241683
-424027 +951609 /656257 *591132
+267525 /39789 -79506 *351991
+57563 /362110 *149398 -982674
/2618 -809632 *362116 +987320
*983547 /469620 +275029 -434246
+450182 -706332 /370356 *79119
/159440 -835004 *576059 +125639
/704676 -464748 *56907 +275799
-568637 /282334 *715587 +349325
/51253 -313751 *9608 +781740
-542800 +439720 *738548 /730095
*313039 -949463 /153077 +996050
/358376 -434326 *848303 +40432
*337426 /94254 -21327 +971877
*615603 +793405 -247392 /682629
*361157 +832461 -52035 /601813
+8490 *244186 -760799 /830938
*530004 +332327 /162468 -587977
*393040 +92365 /876414 -624662
*707898 -288243 /304415 +413250
*759231 -273771 +914200 /840910
+284681 *271278 -952329 /366036
+997318 *114334 -313581 /308128
+953491 /954615 *877864 -537951
/95717 +971698 -616339 *149917
-843656 /377354 *177070 +768244
/559710 +783314 -248886 *15464
*111728 /469778 +642560 -253600
/529636 *939998 -449827 +228256
+381926 /364008 *796948 -844615
-707962 /815134 *135704 +878891
+238679 -157683 *793951 /894635
-498772 /686559 *505211 +734157
+235320 /888670 -568384 *397027
-586713 /117727 *674097 +235946
-590709 /475706 +566930 *723872
*854926 -982428 /642485 +340383
/658078 *562746 -186323 +284753
+838833 -219475 /774812 *80335
+958120 /545637 *272039 -844913
/232151 -590705 *513682 +975018
*573520 -81283 /614753 +550124
-654416 *118734 +59774 /200770
*498763 -172921 +289836 /514593
-771141 *484457 /17392 +378968
*909663 -804335 +652244 /374655
-923890 /255025 +658552 *794366
+361464 *740984 /633177 -707734
+358284 /767967 *466362 -988192
*478544 +385347 /660530 -408755
*370230 -710347 /42723 +327826
/846278 -424230 +941248 *25537
/958961 +684674 -198760 *374729
+345245 /631471 *821470 -406554
/285906 *582571 +700060 -596490
*44396 /950587 -230330 +51234
/854444 -36409 +528644 *685801
